duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_rerror_rate,label,anomaly
0.0,tcp,https,S0,66,0,5,3,0.6,0.4,1.0,0.0,75,71,0.9466666666666667,0.053333333333333344,0.9466666666666667,0.0,normal,0
0.0,tcp,other,S1,66,0,6,3,0.5,0.5,1.0,0.0,689,689,1.0,0.0,0.8737300435413643,0.0,normal,0
0.0,tcp,http,S0,66,0,7,1,0.14285714285714285,0.8571428571428572,1.0,0.0,111,5,0.04504504504504504,0.954954954954955,0.963963963963964,0.0,normal,0
0.0,tcp,https,S0,66,0,8,4,0.5,0.5,1.0,0.0,116,111,0.9568965517241379,0.0431034482758621,0.9655172413793104,0.0,normal,0
0.0,tcp,other,S1,66,0,9,4,0.4444444444444444,0.5555555555555556,1.0,0.0,810,810,1.0,0.0,0.8864197530864197,0.0,normal,0
0.0,tcp,https,S1,55,0,10,5,0.5,0.5,1.0,0.0,1,1,1.0,0.0,1.0,0.0,normal,0
0.0,tcp,https,S0,66,0,11,6,0.5454545454545454,0.4545454545454546,1.0,0.0,134,127,0.9477611940298507,0.052238805970149294,0.9701492537313433,0.0,normal,0
0.0,tcp,other,S1,66,0,12,5,0.4166666666666667,0.5833333333333333,1.0,0.0,843,843,1.0,0.0,0.8896797153024911,0.0,normal,0
0.0,tcp,other,S1,66,0,13,6,0.46153846153846156,0.5384615384615384,1.0,0.0,844,844,1.0,0.0,0.8898104265402843,0.0,normal,0
0.0,tcp,other,S1,66,0,14,7,0.5,0.5,1.0,0.0,900,900,1.0,0.0,0.8966666666666666,0.0,normal,0
0.0,tcp,http,S0,66,0,15,2,0.13333333333333333,0.8666666666666667,1.0,0.0,154,9,0.05844155844155844,0.9415584415584416,0.974025974025974,0.0,normal,0
0.0,tcp,other,S1,66,0,16,8,0.5,0.5,1.0,0.0,919,919,1.0,0.0,0.8977149075081611,0.0,normal,0
0.0,tcp,https,S0,66,0,17,7,0.4117647058823529,0.5882352941176471,1.0,0.0,158,147,0.930379746835443,0.069620253164557,0.9746835443037974,0.0,normal,0
0.0,tcp,other,S1,66,0,18,9,0.5,0.5,1.0,0.0,922,922,1.0,0.0,0.8969631236442517,0.0,normal,0
0.0,icmp,other,OTH,74,0,19,10,0.5263157894736842,0.4736842105263158,0.9473684210526315,0.0,161,1,0.006211180124223602,0.9937888198757764,0.968944099378882,0.0,normal,0
0.0,icmp,other,OTH,74,0,19,11,0.5789473684210527,0.42105263157894735,0.8947368421052632,0.0,926,926,1.0,0.0,0.8930885529157667,0.0,normal,0
0.0,tcp,https,S0,66,0,17,6,0.35294117647058826,0.6470588235294117,0.8823529411764706,0.0,208,190,0.9134615384615384,0.08653846153846156,1.0,0.0,normal,0
0.0,tcp,https,S0,66,0,18,7,0.3888888888888889,0.6111111111111112,0.8888888888888888,0.0,209,191,0.9138755980861244,0.0861244019138756,1.0,0.0,normal,0
0.0,tcp,other,S1,66,0,19,10,0.5263157894736842,0.4736842105263158,0.8947368421052632,0.0,1241,1241,1.0,0.0,0.9161966156325544,0.0,normal,0
0.0,tcp,other,S1,66,0,20,11,0.55,0.44999999999999996,0.9,0.0,1242,1242,1.0,0.0,0.9162640901771336,0.0,normal,0
0.0,tcp,http,S0,66,0,21,3,0.14285714285714285,0.8571428571428572,0.9047619047619048,0.0,271,16,0.05904059040590406,0.940959409594096,0.974169741697417,0.0,normal,0
0.0,tcp,other,S1,66,0,22,12,0.5454545454545454,0.4545454545454546,0.9090909090909091,0.0,1248,1248,1.0,0.0,0.9166666666666666,0.0,normal,0
0.0,tcp,https,S0,66,0,23,8,0.34782608695652173,0.6521739130434783,0.9130434782608695,0.0,276,254,0.9202898550724637,0.07971014492753625,0.9746376811594203,0.0,normal,0
0.0,tcp,other,S1,66,0,24,13,0.5416666666666666,0.45833333333333337,0.9166666666666666,0.0,1250,1250,1.0,0.0,0.9168,0.0,normal,0
0.0,icmp,other,OTH,74,0,23,13,0.5652173913043478,0.4347826086956522,0.8695652173913043,0.0,220,1,0.004545454545454545,0.9954545454545455,0.9954545454545455,0.0,normal,0
0.0,icmp,other,OTH,74,0,24,14,0.5833333333333334,0.41666666666666663,0.8333333333333334,0.0,1266,1266,1.0,0.0,0.9115323854660348,0.0,normal,0
0.0,tcp,https,S0,66,0,19,5,0.2631578947368421,0.736842105263158,0.7894736842105263,0.0,227,206,0.9074889867841409,0.09251101321585908,0.986784140969163,0.0,normal,0
0.0,tcp,other,S1,66,0,20,13,0.65,0.35,0.8,0.0,1379,1379,1.0,0.0,0.9151559100797679,0.0,normal,0
0.0,tcp,http,S0,66,0,15,2,0.13333333333333333,0.8666666666666667,0.7333333333333333,0.0,261,19,0.07279693486590039,0.9272030651340997,0.9885057471264368,0.0,normal,0
0.0,tcp,other,S1,66,0,16,10,0.625,0.375,0.75,0.0,1474,1474,1.0,0.0,0.9185888738127544,0.0,normal,0
0.0,tcp,http,S0,66,0,17,3,0.17647058823529413,0.8235294117647058,0.7647058823529411,0.0,291,22,0.07560137457044673,0.9243986254295533,0.9896907216494846,0.0,normal,0
0.0,tcp,https,S0,66,0,18,5,0.2777777777777778,0.7222222222222222,0.7777777777777778,0.0,292,267,0.9143835616438356,0.08561643835616439,0.9897260273972602,0.0,normal,0
0.0,tcp,other,S1,66,0,19,11,0.5789473684210527,0.42105263157894735,0.7894736842105263,0.0,1506,1506,1.0,0.0,0.9203187250996016,0.0,normal,0
0.0,tcp,other,S1,66,0,20,12,0.6,0.4,0.8,0.0,1508,1508,1.0,0.0,0.919761273209549,0.0,normal,0
0.0,tcp,https,S0,66,0,21,6,0.2857142857142857,0.7142857142857143,0.8095238095238095,0.0,298,270,0.9060402684563759,0.09395973154362414,0.9899328859060402,0.0,normal,0
0.0,tcp,other,S1,66,0,21,12,0.5714285714285714,0.4285714285714286,0.8571428571428571,0.0,1511,1511,1.0,0.0,0.9199205823957644,0.0,normal,0
0.0,tcp,http,S0,66,0,13,3,0.23076923076923078,0.7692307692307692,0.8461538461538461,0.0,338,27,0.07988165680473373,0.9201183431952663,0.9822485207100592,0.0,normal,0
0.0,tcp,other,S1,66,0,14,8,0.5714285714285714,0.4285714285714286,0.8571428571428571,0.0,1585,1585,1.0,0.0,0.9186119873817035,0.0,normal,0
0.0,tcp,https,S0,66,0,15,4,0.26666666666666666,0.7333333333333334,0.8666666666666667,0.0,345,310,0.8985507246376812,0.10144927536231885,0.9826086956521739,0.0,normal,0
0.0,tcp,other,S1,66,0,16,9,0.5625,0.4375,0.875,0.0,1592,1592,1.0,0.0,0.917713567839196,0.0,normal,0
0.0,tcp,https,S0,66,0,1,1,1.0,0.0,1.0,0.0,323,295,0.913312693498452,0.08668730650154799,0.9690402476780186,0.0,normal,0
